bairro,cidade,preco,dados,referencia,tipo
"OLIMPICO","SAO CAETANO DO SUL","R$ 700.000,00","3 dormitórios - 1 suíte - 2 vagas - 250,00 m² de área construída - 106,00 m² de terreno","Ref.: 62406","SOBRADO"
"BARCELONA","SAO CAETANO DO SUL","R$ 450.000,00","3 dormitórios - 1 vaga - 109,00 m² de área construída - 66,70 m² de terreno","Ref.: 62127","SOBRADO"
"SANTA MARIA","SAO CAETANO DO SUL","R$ 730.000,00","3 dormitórios - 1 suíte - 2 vagas - 196,00 m² de área construída - 116,00 m² de terreno","Ref.: 61689","SOBRADO"
"BARCELONA","SAO CAETANO DO SUL","R$ 850.000,00","3 dormitórios - 3 suítes - 2 vagas - 280,00 m² de área construída - 215,00 m² de terreno","Ref.: 61796","SOBRADO"
"SAO JOSE","SAO CAETANO DO SUL","R$ 750.000,00","3 dormitórios - 2 vagas - 160,00 m² de área construída - 132,00 m² de terreno","Ref.: 60439","SOBRADO"
"BARCELONA","SAO CAETANO DO SUL","R$ 470.000,00","2 dormitórios - 1 suíte - 2 vagas - 113,00 m² de área construída - 66,40 m² de terreno","Ref.: 60716","SOBRADO"
"BARCELONA","SAO CAETANO DO SUL","R$ 980.000,00","3 dormitórios - 2 suítes - 5 vagas - 380,00 m² de área construída - 192,40 m² de terreno","Ref.: 62111","SOBRADO"
"OLIMPICO","SAO CAETANO DO SUL","R$ 750.000,00","4 dormitórios - 2 vagas - 216,00 m² de área construída - 275,00 m² de terreno","Ref.: 61662","CASA TERREA"
"JARDIM SAO CAETANO","SAO CAETANO DO SUL","R$ 2.900.000,00","4 dormitórios - 4 suítes - 352,00 m² de área construída - 408,00 m² de terreno","Ref.: 62065","SOBRADO"
"BOA VISTA","SAO CAETANO DO SUL","R$ 520.000,00","2 dormitórios - 1 suíte - 2 vagas - 139,00 m² de área construída - 122,85 m² de terreno","Ref.: 61370","SOBRADO"
"OLIMPICO","SAO CAETANO DO SUL","R$ 700.000,00","2 dormitórios - 5 vagas - 340,00 m² de área construída - 168,00 m² de terreno","Ref.: 61930","CASA"
"SANTA MARIA","SAO CAETANO DO SUL","R$ 800.000,00","3 dormitórios - 1 suíte - 2 vagas - 310,00 m² de área construída - 300,00 m² de terreno","Ref.: 60924","CASA"
"NOVA GERTI","SAO CAETANO DO SUL","R$ 750.000,00","4 dormitórios - 1 suíte - 4 vagas - 202,00 m² de área construída - 140,00 m² de terreno","Ref.: 61671","SOBRADO"
"OLIMPICO","SAO CAETANO DO SUL","R$ 1.000.000,00","3 dormitórios - 1 suíte - 3 vagas - 226,00 m² de área construída - 171,00 m² de terreno","Ref.: 61484","SOBRADO"
"SANTO ANTONIO","SAO CAETANO DO SUL","R$ 630.000,00","3 dormitórios - 1 vaga - 80,00 m² de área construída - 100,00 m² de terreno","Ref.: 60718","CASA"
"JARDIM SAO CAETANO","SAO CAETANO DO SUL","R$ 1.600.000,00","4 dormitórios - 4 suítes - 2 vagas","Ref.: 61472","CASA"
"SANTA MARIA","SAO CAETANO DO SUL","R$ 850.000,00","2 dormitórios - 2 vagas - 178,00 m² de área construída - 231,00 m² de terreno","Ref.: 61887","SOBRADO"
"SANTA MARIA","SAO CAETANO DO SUL","R$ 1.300.000,00","3 dormitórios - 1 suíte - 4 vagas - 400,00 m² de área construída - 500,00 m² de terreno","Ref.: 62201","CASA TERREA"
"BARCELONA","SAO CAETANO DO SUL","R$ 290.000,00","2 dormitórios - 102,00 m² de área construída - 51,00 m² de terreno","Ref.: 61261","SOBRADO"
"SANTA PAULA","SAO CAETANO DO SUL","R$ 470.000,00","2 dormitórios - 2 vagas - 120,00 m² de área construída - 140,00 m² de terreno","Ref.: 61369","CASA TERREA"
"BARCELONA","SAO CAETANO DO SUL","R$ 290.000,00","2 dormitórios - 102,00 m² de área construída - 51,00 m² de terreno","Ref.: 61261","SOBRADO"
"OLIMPICO","SAO CAETANO DO SUL","R$ 500.000,00","2 dormitórios - 1 vaga - 250,00 m² de área construída - 146,00 m² de terreno","Ref.: 62034","CASA"
"SANTA PAULA","SAO CAETANO DO SUL","R$ 1.120.000,00","3 dormitórios - 8 vagas - 230,00 m² de área construída - 238,00 m² de terreno","Ref.: 62311","SOBRADO"
"NOVA GERTI","SAO CAETANO DO SUL","R$ 800.000,00","2 dormitórios - 1 suíte - 3 vagas - 128,00 m² de área construída - 300,00 m² de terreno","Ref.: 62413","CASA TERREA"
"SANTA PAULA","SAO CAETANO DO SUL","R$ 2.200.000,00","3 dormitórios - 1 suíte - 7 vagas - 320,00 m² de área construída - 400,00 m² de terreno","Ref.: 59288","CASA"
"BARCELONA","SAO CAETANO DO SUL","R$ 1.550.000,00","1 dormitório - 4 vagas - 250,00 m² de área construída - 264,00 m² de terreno","Ref.: 60928","CASA COMERCIAL"
"OLIMPICO","SAO CAETANO DO SUL","R$ 950.000,00","3 dormitórios - 1 suíte - 3 vagas - 190,00 m² de área construída - 205,00 m² de terreno","Ref.: 61979","CASA"
"OLIMPICO","SAO CAETANO DO SUL","R$ 650.000,00","3 dormitórios - 1 suíte - 2 vagas - 140,00 m² de área construída - 196,00 m² de terreno","Ref.: 61448","CASA"
"JARDIM SAO CAETANO","SAO CAETANO DO SUL","R$ 2.900.000,00","4 dormitórios - 4 suítes - 352,00 m² de área construída - 408,00 m² de terreno","Ref.: 62065","SOBRADO"
"CENTRO","SAO CAETANO DO SUL","R$ 900.000,00","2 dormitórios - 5 vagas - 150,00 m² de área construída - 271,00 m² de terreno","Ref.: 61742","CASA"
"FUNDACAO","SAO CAETANO DO SUL","R$ 650.000,00","2 dormitórios - 2 vagas - 100,00 m² de área construída - 175,00 m² de terreno","Ref.: 62418","CASA TERREA"
"NOVA GERTI","SAO CAETANO DO SUL","R$ 600.000,00","2 dormitórios - 2 vagas - 100,00 m² de área construída - 225,00 m² de terreno","Ref.: 61858","CASA"
"BARCELONA","SAO CAETANO DO SUL","R$ 900.000,00","3 dormitórios - 1 suíte - 3 vagas - 145,00 m² de área construída - 200,00 m² de terreno","Ref.: 62123","CASA"
"BARCELONA","SAO CAETANO DO SUL","R$ 950.000,00","3 dormitórios - 1 suíte - 3 vagas - 214,00 m² de área construída - 150,00 m² de terreno","Ref.: 62112","SOBRADO"
