bairro;cidade;preco;dados;referencia;tipo;dados;m² de área construída;m² de terreno;vaga;dormitório;suíte
SANTA MARIA;SAO CAETANO DO SUL;R$ 950.000,00;3 dormitórios - 6 vagas - 187,00 m² de área construída - 500,00 m² de terreno;Ref.: 61467;CASA;3 dormitórios - 6 vagas - 187,00 m² de área construída - 500,00 m² de terreno;187;500;6;3;
SANTA MARIA;SAO CAETANO DO SUL;R$ 830.000,00;3 dormitórios - 3 suítes - 3 vagas - 155,00 m² de área construída - 132,00 m² de terreno;Ref.: 61992;SOBRADO;3 dormitórios - 3 suítes - 3 vagas - 155,00 m² de área construída - 132,00 m² de terreno;155;132;3;3;3
NOVA GERTI;SAO CAETANO DO SUL;R$ 750.000,00;3 dormitórios - 1 vaga - 240,00 m² de área construída - 324,00 m² de terreno;Ref.: 62235;CASA TERREA;3 dormitórios - 1 vaga - 240,00 m² de área construída - 324,00 m² de terreno;240;324;1;3;
OLIMPICO;SAO CAETANO DO SUL;R$ 1.350.000,00;3 dormitórios - 3 suítes - 6 vagas - 350,00 m² de área construída - 196,00 m² de terreno;Ref.: 61135;SOBRADO;3 dormitórios - 3 suítes - 6 vagas - 350,00 m² de área construída - 196,00 m² de terreno;350;196;6;3;3
PROSPERIDADE;SAO CAETANO DO SUL;R$ 1.300.000,00;4 dormitórios - 1 suíte - 8 vagas - 230,00 m² de área construída - 450,00 m² de terreno;Ref.: 61493;CASA TERREA;4 dormitórios - 1 suíte - 8 vagas - 230,00 m² de área construída - 450,00 m² de terreno;230;450;8;4;1
JARDIM SAO CAETANO;SAO CAETANO DO SUL;R$ 1.700.000,00;4 dormitórios - 3 suítes - 5 vagas - 300,00 m² de área construída - 360,00 m² de terreno;Ref.: 60705;SOBRADO;4 dormitórios - 3 suítes - 5 vagas - 300,00 m² de área construída - 360,00 m² de terreno;300;360;5;4;3
SANTA PAULA;SAO CAETANO DO SUL;R$ 600.000,00;2 dormitórios - 2 vagas - 111,00 m² de área construída - 100,00 m² de terreno;Ref.: 59469;CASA;2 dormitórios - 2 vagas - 111,00 m² de área construída - 100,00 m² de terreno;111;100;2;2;
BARCELONA;SAO CAETANO DO SUL;R$ 2.400.000,00;4 dormitórios - 1 suíte - 3 vagas - 500,00 m² de área construída - 700,00 m² de terreno;Ref.: 60649;CASA;4 dormitórios - 1 suíte - 3 vagas - 500,00 m² de área construída - 700,00 m² de terreno;500;700;3;4;1
BARCELONA;SAO CAETANO DO SUL;R$ 400.000,00;2 dormitórios - 1 vaga - 100,00 m² de área construída - 106,70 m² de terreno;Ref.: 62255;CASA TERREA;2 dormitórios - 1 vaga - 100,00 m² de área construída - 106,70 m² de terreno;100;106,7;1;2;
BARCELONA;SAO CAETANO DO SUL;R$ 1.400.000,00;3 dormitórios - 4 vagas - 214,00 m² de área construída - 456,00 m² de terreno;Ref.: 61828;SOBRADO;3 dormitórios - 4 vagas - 214,00 m² de área construída - 456,00 m² de terreno;214;456;4;3;
OLIMPICO;SAO CAETANO DO SUL;R$ 1.050.000,00;3 dormitórios - 3 suítes - 5 vagas - 279,00 m² de área construída - 160,00 m² de terreno;Ref.: 62327;SOBRADO;3 dormitórios - 3 suítes - 5 vagas - 279,00 m² de área construída - 160,00 m² de terreno;279;160;5;3;3
OSVALDO CRUZ;SAO CAETANO DO SUL;R$ 450.000,00;3 dormitórios - 2 vagas - 90,00 m² de área construída - 75,00 m² de terreno;Ref.: 62271;SOBRADO;3 dormitórios - 2 vagas - 90,00 m² de área construída - 75,00 m² de terreno;90;75;2;3;
OLIMPICO;SAO CAETANO DO SUL;R$ 850.000,00;3 dormitórios - 1 suíte - 1 vaga - 155,00 m² de área construída - 149,00 m² de terreno;Ref.: 61469;SOBRADO;3 dormitórios - 1 suíte - 1 vaga - 155,00 m² de área construída - 149,00 m² de terreno;155;149;1;3;1
SANTA MARIA;SAO CAETANO DO SUL;R$ 800.000,00;3 dormitórios - 1 suíte - 2 vagas - 210,00 m² de área construída - 143,00 m² de terreno;Ref.: 61995;SOBRADO;3 dormitórios - 1 suíte - 2 vagas - 210,00 m² de área construída - 143,00 m² de terreno;210;143;2;3;1
BOA VISTA;SAO CAETANO DO SUL;R$ 700.000,00;3 dormitórios - 3 suítes - 2 vagas - 123,00 m² de área construída - 71,40 m² de terreno;Ref.: 62179;SOBRADO;3 dormitórios - 3 suítes - 2 vagas - 123,00 m² de área construída - 71,40 m² de terreno;123;71,4;2;3;3
JARDIM SAO CAETANO;SAO CAETANO DO SUL;R$ 900.000,00;3 dormitórios - 1 suíte;Ref.: 61335;CASA;3 dormitórios - 1 suíte;;;;3;1
BARCELONA;SAO CAETANO DO SUL;R$ 1.200.000,00;1 dormitório - 5 vagas - 224,00 m² de área construída - 450,20 m² de terreno;Ref.: 59896;CASA;1 dormitório - 5 vagas - 224,00 m² de área construída - 450,20 m² de terreno;224;450,2;5;1;
BARCELONA;SAO CAETANO DO SUL;R$ 480.000,00;3 dormitórios - 2 vagas - 140,00 m² de área construída - 77,00 m² de terreno;Ref.: 62193;SOBRADO;3 dormitórios - 2 vagas - 140,00 m² de área construída - 77,00 m² de terreno;140;77;2;3;
MAUA;SAO CAETANO DO SUL;R$ 530.000,00;2 dormitórios - 2 vagas - 100,00 m² de área construída - 165,75 m² de terreno;Ref.: 62317;CASA TERREA;2 dormitórios - 2 vagas - 100,00 m² de área construída - 165,75 m² de terreno;100;165,75;2;2;
SANTA MARIA;SAO CAETANO DO SUL;R$ 500.000,00;3 dormitórios - 2 vagas - 99,00 m² de área construída - 60,42 m² de terreno;Ref.: 62047;SOBRADO;3 dormitórios - 2 vagas - 99,00 m² de área construída - 60,42 m² de terreno;99;60,42;2;3;
SANTA PAULA;SAO CAETANO DO SUL;R$ 1.320.000,00;3 dormitórios - 3 suítes - 6 vagas - 412,00 m² de área construída - 210,00 m² de terreno;Ref.: 61538;SOBRADO;3 dormitórios - 3 suítes - 6 vagas - 412,00 m² de área construída - 210,00 m² de terreno;412;210;6;3;3
OSVALDO CRUZ;SAO CAETANO DO SUL;R$ 900.000,00;3 dormitórios - 3 suítes - 4 vagas - 292,00 m² de área construída - 165,00 m² de terreno;Ref.: 62300;SOBRADO;3 dormitórios - 3 suítes - 4 vagas - 292,00 m² de área construída - 165,00 m² de terreno;292;165;4;3;3
SANTA MARIA;SAO CAETANO DO SUL;R$ 560.000,00;2 dormitórios - 2 vagas - 150,00 m² de área construída - 250,00 m² de terreno;Ref.: 62037;CASA;2 dormitórios - 2 vagas - 150,00 m² de área construída - 250,00 m² de terreno;150;250;2;2;
OLIMPICO;SAO CAETANO DO SUL;R$ 850.000,00;3 dormitórios - 1 suíte - 3 vagas - 228,00 m² de área construída - 111,60 m² de terreno;Ref.: 61936;SOBRADO;3 dormitórios - 1 suíte - 3 vagas - 228,00 m² de área construída - 111,60 m² de terreno;228;111,6;3;3;1
BARCELONA;SAO CAETANO DO SUL;R$ 550.000,00;4 dormitórios - 6 vagas - 311,00 m² de área construída - 164,75 m² de terreno;Ref.: 61722;SOBRADO;4 dormitórios - 6 vagas - 311,00 m² de área construída - 164,75 m² de terreno;311;164,75;6;4;
BARCELONA;SAO CAETANO DO SUL;R$ 900.000,00;3 dormitórios - 2 suítes - 2 vagas - 251,00 m² de área construída - 139,70 m² de terreno;Ref.: 61638;SOBRADO;3 dormitórios - 2 suítes - 2 vagas - 251,00 m² de área construída - 139,70 m² de terreno;251;139,7;2;3;2
SANTA MARIA;SAO CAETANO DO SUL;R$ 1.200.000,00;3 dormitórios - 5 vagas - 200,00 m² de área construída - 500,00 m² de terreno;Ref.: 60872;CASA;3 dormitórios - 5 vagas - 200,00 m² de área construída - 500,00 m² de terreno;200;500;5;3;
NOVA GERTI;SAO CAETANO DO SUL;R$ 630.000,00;3 dormitórios - 1 suíte - 2 vagas - 170,00 m² de área construída - 150,00 m² de terreno;Ref.: 62415;SOBRADO;3 dormitórios - 1 suíte - 2 vagas - 170,00 m² de área construída - 150,00 m² de terreno;170;150;2;3;1
SANTA MARIA;SAO CAETANO DO SUL;R$ 750.000,00;1 dormitório - 1 vaga - 250,00 m² de terreno;Ref.: 61798;CASA;1 dormitório - 1 vaga - 250,00 m² de terreno;;250;1;1;
BARCELONA;SAO CAETANO DO SUL;R$ 300.000,00;2 dormitórios - 1 vaga - 80,00 m² de área construída - 48,00 m² de terreno;Ref.: 62188;SOBRADO;2 dormitórios - 1 vaga - 80,00 m² de área construída - 48,00 m² de terreno;80;48;1;2;
BARCELONA;SAO CAETANO DO SUL;R$ 650.000,00;3 dormitórios - 1 suíte - 2 vagas - 199,00 m² de área construída - 150,00 m² de terreno;Ref.: 60117;SOBRADO;3 dormitórios - 1 suíte - 2 vagas - 199,00 m² de área construída - 150,00 m² de terreno;199;150;2;3;1
SANTA MARIA;SAO CAETANO DO SUL;R$ 590.000,00;2 dormitórios - 170,00 m² de área construída - 86,20 m² de terreno;Ref.: 62360;SOBRADO;2 dormitórios - 170,00 m² de área construída - 86,20 m² de terreno;170;86,2;;2;
SANTA MARIA;SAO CAETANO DO SUL;R$ 800.000,00;3 dormitórios - 1 suíte - 4 vagas - 286,00 m² de área construída - 197,00 m² de terreno;Ref.: 61385;SOBRADO;3 dormitórios - 1 suíte - 4 vagas - 286,00 m² de área construída - 197,00 m² de terreno;286;197;4;3;1
NOVA GERTI;SAO CAETANO DO SUL;R$ 850.000,00;3 dormitórios - 1 suíte - 3 vagas - 291,28 m² de área construída - 320,00 m² de terreno;Ref.: 62306;CASA TERREA;3 dormitórios - 1 suíte - 3 vagas - 291,28 m² de área construída - 320,00 m² de terreno;291,28;320;3;3;1
BARCELONA;SAO CAETANO DO SUL;R$ 850.000,00;3 dormitórios - 1 suíte - 3 vagas - 185,00 m² de área construída - 188,50 m² de terreno;Ref.: 61883;SOBRADO;3 dormitórios - 1 suíte - 3 vagas - 185,00 m² de área construída - 188,50 m² de terreno;185;188,5;3;3;1
BARCELONA;SAO CAETANO DO SUL;R$ 1.050.000,00;3 dormitórios - 1 suíte - 4 vagas - 341,00 m² de área construída - 175,00 m² de terreno;Ref.: 61754;CASA ASSOBRADADA;3 dormitórios - 1 suíte - 4 vagas - 341,00 m² de área construída - 175,00 m² de terreno;341;175;4;3;1
SANTA MARIA;SAO CAETANO DO SUL;R$ 800.000,00;4 dormitórios - 1 suíte - 7 vagas - 208,00 m² de área construída - 138,70 m² de terreno;Ref.: 62035;SOBRADO;4 dormitórios - 1 suíte - 7 vagas - 208,00 m² de área construída - 138,70 m² de terreno;208;138,7;7;4;1
SANTA MARIA;SAO CAETANO DO SUL;R$ 640.000,00;3 dormitórios - 4 vagas - 170,00 m² de área construída - 150,00 m² de terreno;Ref.: 61700;CASA;3 dormitórios - 4 vagas - 170,00 m² de área construída - 150,00 m² de terreno;170;150;4;3;
CERAMICA;SAO CAETANO DO SUL;R$ 1.400.000,00;3 dormitórios - 4 vagas - 300,00 m² de área construída - 322,00 m² de terreno;Ref.: 61825;CASA;3 dormitórios - 4 vagas - 300,00 m² de área construída - 322,00 m² de terreno;300;322;4;3;
BARCELONA;SAO CAETANO DO SUL;R$ 650.000,00;2 dormitórios - 1 suíte - 2 vagas - 202,00 m² de área construída - 115,00 m² de terreno;Ref.: 59801;CASA;2 dormitórios - 1 suíte - 2 vagas - 202,00 m² de área construída - 115,00 m² de terreno;202;115;2;2;1
BARCELONA;SAO CAETANO DO SUL;R$ 300.000,00;2 dormitórios - 1 vaga - 80,00 m² de área construída - 48,00 m² de terreno;Ref.: 62188;SOBRADO;2 dormitórios - 1 vaga - 80,00 m² de área construída - 48,00 m² de terreno;80;48;1;2;
BARCELONA;SAO CAETANO DO SUL;R$ 990.000,00;3 dormitórios - 1 suíte - 8 vagas - 347,00 m² de área construída - 290,00 m² de terreno;Ref.: 60508;SOBRADO;3 dormitórios - 1 suíte - 8 vagas - 347,00 m² de área construída - 290,00 m² de terreno;347;290;8;3;1
SANTO ANTONIO;SAO CAETANO DO SUL;R$ 850.000,00;3 dormitórios - 1 suíte - 2 vagas - 150,00 m² de área construída - 100,00 m² de terreno;Ref.: 62015;SOBRADO;3 dormitórios - 1 suíte - 2 vagas - 150,00 m² de área construída - 100,00 m² de terreno;150;100;2;3;1
BARCELONA;SAO CAETANO DO SUL;R$ 1.600.000,00;3 dormitórios - 6 vagas - 130,00 m² de área construída - 500,00 m² de terreno;Ref.: 61852;CASA;3 dormitórios - 6 vagas - 130,00 m² de área construída - 500,00 m² de terreno;130;500;6;3;
NOVA GERTI;SAO CAETANO DO SUL;R$ 660.000,00;2 dormitórios - 1 suíte - 3 vagas - 300,00 m² de terreno;Ref.: 62365;CASA TERREA;2 dormitórios - 1 suíte - 3 vagas - 300,00 m² de terreno;;300;3;2;1
BARCELONA;SAO CAETANO DO SUL;R$ 2.400.000,00;4 dormitórios - 1 suíte - 3 vagas - 500,00 m² de área construída - 700,00 m² de terreno;Ref.: 60649;CASA;4 dormitórios - 1 suíte - 3 vagas - 500,00 m² de área construída - 700,00 m² de terreno;500;700;3;4;1
BARCELONA;SAO CAETANO DO SUL;R$ 1.050.000,00;2 dormitórios - 1 vaga - 176,00 m² de área construída - 200,00 m² de terreno;Ref.: 61274;CASA TERREA;2 dormitórios - 1 vaga - 176,00 m² de área construída - 200,00 m² de terreno;176;200;1;2;
OSVALDO CRUZ;SAO CAETANO DO SUL;R$ 850.000,00;3 dormitórios - 2 vagas - 250,00 m² de terreno;Ref.: 61042;CASA ASSOBRADADA;3 dormitórios - 2 vagas - 250,00 m² de terreno;;250;2;3;
OLIMPICO;SAO CAETANO DO SUL;R$ 1.080.000,00;3 dormitórios - 1 suíte - 5 vagas - 230,00 m² de área construída - 380,00 m² de terreno;Ref.: 62184;CASA;3 dormitórios - 1 suíte - 5 vagas - 230,00 m² de área construída - 380,00 m² de terreno;230;380;5;3;1
BARCELONA;SAO CAETANO DO SUL;R$ 500.000,00;2 dormitórios - 1 suíte - 3 vagas - 100,00 m² de área construída - 154,00 m² de terreno;Ref.: 62292;CASA TERREA;2 dormitórios - 1 suíte - 3 vagas - 100,00 m² de área construída - 154,00 m² de terreno;100;154;3;2;1
BARCELONA;SAO CAETANO DO SUL;R$ 300.000,00;2 dormitórios - 1 vaga - 80,00 m² de área construída - 48,00 m² de terreno;Ref.: 62085;SOBRADO;2 dormitórios - 1 vaga - 80,00 m² de área construída - 48,00 m² de terreno;80;48;1;2;
JARDIM SAO CAETANO;SAO CAETANO DO SUL;R$ 480.000,00;2 dormitórios - 2 vagas - 122,00 m² de área construída - 110,71 m² de terreno;Ref.: 61941;SOBRADO;2 dormitórios - 2 vagas - 122,00 m² de área construída - 110,71 m² de terreno;122;110,71;2;2;
SANTA MARIA;SAO CAETANO DO SUL;R$ 1.200.000,00;2 dormitórios - 4 vagas - 200,00 m² de área construída - 500,00 m² de terreno;Ref.: 60873;CASA;2 dormitórios - 4 vagas - 200,00 m² de área construída - 500,00 m² de terreno;200;500;4;2;
JARDIM SAO CAETANO;SAO CAETANO DO SUL;R$ 550.000,00;2 dormitórios - 2 suítes - 1 vaga - 124,00 m² de área construída - 80,00 m² de terreno;Ref.: 61677;SOBRADO;2 dormitórios - 2 suítes - 1 vaga - 124,00 m² de área construída - 80,00 m² de terreno;124;80;1;2;2
SANTA MARIA;SAO CAETANO DO SUL;R$ 1.100.000,00;4 dormitórios - 4 suítes - 6 vagas - 330,00 m² de área construída - 320,00 m² de terreno;Ref.: 60647;SOBRADO;4 dormitórios - 4 suítes - 6 vagas - 330,00 m² de área construída - 320,00 m² de terreno;330;320;6;4;4
OLIMPICO;SAO CAETANO DO SUL;R$ 1.100.000,00;4 dormitórios - 1 suíte - 4 vagas - 258,80 m² de área construída - 143,00 m² de terreno;Ref.: 61756;SOBRADO;4 dormitórios - 1 suíte - 4 vagas - 258,80 m² de área construída - 143,00 m² de terreno;258,8;143;4;4;1
BARCELONA;SAO CAETANO DO SUL;R$ 650.000,00;3 dormitórios - 1 suíte - 2 vagas - 182,00 m² de área construída - 150,00 m² de terreno;Ref.: 62354;SOBRADO;3 dormitórios - 1 suíte - 2 vagas - 182,00 m² de área construída - 150,00 m² de terreno;182;150;2;3;1
SANTA MARIA;SAO CAETANO DO SUL;R$ 1.380.000,00;4 dormitórios - 1 suíte - 6 vagas - 340,00 m² de área construída - 198,00 m² de terreno;Ref.: 62135;SOBRADO;4 dormitórios - 1 suíte - 6 vagas - 340,00 m² de área construída - 198,00 m² de terreno;340;198;6;4;1
NOVA GERTI;SAO CAETANO DO SUL;R$ 550.000,00;3 dormitórios - 2 vagas - 151,00 m² de área construída - 216,00 m² de terreno;Ref.: 61384;CASA;3 dormitórios - 2 vagas - 151,00 m² de área construída - 216,00 m² de terreno;151;216;2;3;
BARCELONA;SAO CAETANO DO SUL;R$ 1.380.000,00;1 dormitório - 2 vagas - 100,00 m² de área construída - 450,00 m² de terreno;Ref.: 60179;CASA TERREA;1 dormitório - 2 vagas - 100,00 m² de área construída - 450,00 m² de terreno;100;450;2;1;
BARCELONA;SAO CAETANO DO SUL;R$ 300.000,00;2 dormitórios - 80,00 m² de área construída - 48,00 m² de terreno;Ref.: 62055;SOBRADO;2 dormitórios - 80,00 m² de área construída - 48,00 m² de terreno;80;48;;2;
SANTA PAULA;SAO CAETANO DO SUL;R$ 800.000,00;3 dormitórios - 1 suíte - 2 vagas - 228,00 m² de área construída - 167,90 m² de terreno;Ref.: 61170;SOBRADO;3 dormitórios - 1 suíte - 2 vagas - 228,00 m² de área construída - 167,90 m² de terreno;228;167,9;2;3;1
BARCELONA;SAO CAETANO DO SUL;R$ 300.000,00;2 dormitórios - 1 vaga - 80,00 m² de área construída - 48,00 m² de terreno;Ref.: 62189;SOBRADO;2 dormitórios - 1 vaga - 80,00 m² de área construída - 48,00 m² de terreno;80;48;1;2;
OSVALDO CRUZ;SAO CAETANO DO SUL;R$ 650.000,00;1 dormitório - 3 vagas - 182,00 m² de terreno;Ref.: 62017;CASA TERREA;1 dormitório - 3 vagas - 182,00 m² de terreno;;182;3;1;
SANTA MARIA;SAO CAETANO DO SUL;R$ 470.000,00;3 dormitórios - 1 suíte - 2 vagas - 110,00 m² de área construída - 63,00 m² de terreno;Ref.: 62195;SOBRADO;3 dormitórios - 1 suíte - 2 vagas - 110,00 m² de área construída - 63,00 m² de terreno;110;63;2;3;1
BARCELONA;SAO CAETANO DO SUL;R$ 600.000,00;3 dormitórios - 1 suíte - 2 vagas - 202,00 m² de área construída - 115,07 m² de terreno;Ref.: 60982;SOBRADO;3 dormitórios - 1 suíte - 2 vagas - 202,00 m² de área construída - 115,07 m² de terreno;202;115,07;2;3;1
SANTA PAULA;SAO CAETANO DO SUL;R$ 550.000,00;2 dormitórios - 2 vagas - 180,00 m² de área construída - 210,00 m² de terreno;Ref.: 62392;CASA;2 dormitórios - 2 vagas - 180,00 m² de área construída - 210,00 m² de terreno;180;210;2;2;
SANTA PAULA;SAO CAETANO DO SUL;R$ 2.200.000,00;3 dormitórios - 1 suíte - 7 vagas - 320,00 m² de área construída - 400,00 m² de terreno;Ref.: 59288;CASA;3 dormitórios - 1 suíte - 7 vagas - 320,00 m² de área construída - 400,00 m² de terreno;320;400;7;3;1
PROSPERIDADE;SAO CAETANO DO SUL;R$ 430.000,00;3 dormitórios - 1 suíte - 4 vagas - 228,00 m² de área construída - 230,00 m² de terreno;Ref.: 61617;SOBRADO;3 dormitórios - 1 suíte - 4 vagas - 228,00 m² de área construída - 230,00 m² de terreno;228;230;4;3;1
OLIMPICO;SAO CAETANO DO SUL;R$ 770.000,00;3 dormitórios - 3 vagas - 162,00 m² de área construída - 171,00 m² de terreno;Ref.: 61922;CASA;3 dormitórios - 3 vagas - 162,00 m² de área construída - 171,00 m² de terreno;162;171;3;3;
SANTA PAULA;SAO CAETANO DO SUL;R$ 900.000,00;1 dormitório - 4 vagas - 180,00 m² de área construída - 200,00 m² de terreno;Ref.: 61062;CASA;1 dormitório - 4 vagas - 180,00 m² de área construída - 200,00 m² de terreno;180;200;4;1;
OLIMPICO;SAO CAETANO DO SUL;R$ 770.000,00;2 dormitórios - 3 vagas - 237,00 m² de área construída - 270,00 m² de terreno;Ref.: 61143;CASA;2 dormitórios - 3 vagas - 237,00 m² de área construída - 270,00 m² de terreno;237;270;3;2;
BARCELONA;SAO CAETANO DO SUL;R$ 720.000,00;2 dormitórios - 4 vagas - 226,00 m² de área construída - 220,00 m² de terreno;Ref.: 62382;CASA;2 dormitórios - 4 vagas - 226,00 m² de área construída - 220,00 m² de terreno;226;220;4;2;
BARCELONA;SAO CAETANO DO SUL;R$ 950.000,00;3 dormitórios - 2 vagas - 217,00 m² de área construída - 177,00 m² de terreno;Ref.: 61709;SOBRADO;3 dormitórios - 2 vagas - 217,00 m² de área construída - 177,00 m² de terreno;217;177;2;3;
SANTA PAULA;SAO CAETANO DO SUL;R$ 650.000,00;2 dormitórios - 1 suíte - 3 vagas - 135,00 m² de área construída - 199,00 m² de terreno;Ref.: 61630;CASA;2 dormitórios - 1 suíte - 3 vagas - 135,00 m² de área construída - 199,00 m² de terreno;135;199;3;2;1
BARCELONA;SAO CAETANO DO SUL;R$ 550.000,00;2 dormitórios - 2 vagas - 166,00 m² de área construída;Ref.: 62220;SOBRADO;2 dormitórios - 2 vagas - 166,00 m² de área construída;166;;2;2;
SANTA MARIA;SAO CAETANO DO SUL;R$ 850.000,00;3 dormitórios - 1 suíte - 6 vagas - 267,00 m² de área construída - 166,70 m² de terreno;Ref.: 59906;SOBRADO;3 dormitórios - 1 suíte - 6 vagas - 267,00 m² de área construída - 166,70 m² de terreno;267;166,7;6;3;1
BARCELONA;SAO CAETANO DO SUL;R$ 750.000,00;2 dormitórios - 1 suíte - 4 vagas - 252,00 m² de área construída - 154,00 m² de terreno;Ref.: 61022;CASA;2 dormitórios - 1 suíte - 4 vagas - 252,00 m² de área construída - 154,00 m² de terreno;252;154;4;2;1
SANTA MARIA;SAO CAETANO DO SUL;R$ 480.000,00;2 dormitórios - 1 vaga - 100,00 m² de área construída - 60,00 m² de terreno;Ref.: 62324;SOBRADO;2 dormitórios - 1 vaga - 100,00 m² de área construída - 60,00 m² de terreno;100;60;1;2;
BARCELONA;SAO CAETANO DO SUL;R$ 620.000,00;3 dormitórios - 1 suíte - 2 vagas - 200,00 m² de área construída - 90,62 m² de terreno;Ref.: 62076;SOBRADO;3 dormitórios - 1 suíte - 2 vagas - 200,00 m² de área construída - 90,62 m² de terreno;200;90,62;2;3;1
SANTA MARIA;SAO CAETANO DO SUL;R$ 1.200.000,00;3 dormitórios - 2 suítes - 1 vaga - 300,00 m² de área construída - 325,00 m² de terreno;Ref.: 62228;CASA TERREA;3 dormitórios - 2 suítes - 1 vaga - 300,00 m² de área construída - 325,00 m² de terreno;300;325;1;3;2
OLIMPICO;SAO CAETANO DO SUL;R$ 750.000,00;2 dormitórios - 2 vagas - 142,42 m² de área construída - 266,00 m² de terreno;Ref.: 61567;CASA;2 dormitórios - 2 vagas - 142,42 m² de área construída - 266,00 m² de terreno;142,42;266;2;2;
CERAMICA;SAO CAETANO DO SUL;R$ 650.000,00;2 dormitórios - 3 vagas - 122,00 m² de área construída - 161,32 m² de terreno;Ref.: 61699;CASA;2 dormitórios - 3 vagas - 122,00 m² de área construída - 161,32 m² de terreno;122;161,32;3;2;
SANTA MARIA;SAO CAETANO DO SUL;R$ 410.000,00;2 dormitórios - 3 vagas - 112,00 m² de área construída - 190,00 m² de terreno;Ref.: 61942;CASA;2 dormitórios - 3 vagas - 112,00 m² de área construída - 190,00 m² de terreno;112;190;3;2;
BARCELONA;SAO CAETANO DO SUL;R$ 690.000,00;5 dormitórios - 4 vagas - 500,00 m² de área construída - 356,00 m² de terreno;Ref.: 62187;SOBRADO;5 dormitórios - 4 vagas - 500,00 m² de área construída - 356,00 m² de terreno;500;356;4;5;
BARCELONA;SAO CAETANO DO SUL;R$ 954.000,00;3 dormitórios - 3 suítes - 3 vagas - 300,00 m² de área construída - 230,00 m² de terreno;Ref.: 61925;CASA TERREA;3 dormitórios - 3 suítes - 3 vagas - 300,00 m² de área construída - 230,00 m² de terreno;300;230;3;3;3
SANTA MARIA;SAO CAETANO DO SUL;R$ 630.000,00;3 dormitórios - 1 suíte - 2 vagas - 142,00 m² de área construída - 123,00 m² de terreno;Ref.: 62338;SOBRADO;3 dormitórios - 1 suíte - 2 vagas - 142,00 m² de área construída - 123,00 m² de terreno;142;123;2;3;1
NOVA GERTI;SAO CAETANO DO SUL;R$ 595.000,00;2 dormitórios - 7 vagas - 150,00 m² de área construída - 310,00 m² de terreno;Ref.: 60604;CASA;2 dormitórios - 7 vagas - 150,00 m² de área construída - 310,00 m² de terreno;150;310;7;2;
BARCELONA;SAO CAETANO DO SUL;R$ 990.000,00;3 dormitórios - 3 suítes - 3 vagas - 211,00 m² de área construída - 200,00 m² de terreno;Ref.: 61396;SOBRADO;3 dormitórios - 3 suítes - 3 vagas - 211,00 m² de área construída - 200,00 m² de terreno;211;200;3;3;3
SANTA MARIA;SAO CAETANO DO SUL;R$ 700.000,00;3 dormitórios - 3 suítes - 4 vagas - 92,40 m² de terreno;Ref.: 61960;SOBRADO;3 dormitórios - 3 suítes - 4 vagas - 92,40 m² de terreno;;92,4;4;3;3
OLIMPICO;SAO CAETANO DO SUL;R$ 870.000,00;4 dormitórios - 2 suítes - 4 vagas - 189,00 m² de área construída - 140,00 m² de terreno;Ref.: 61273;SOBRADO;4 dormitórios - 2 suítes - 4 vagas - 189,00 m² de área construída - 140,00 m² de terreno;189;140;4;4;2
SANTA MARIA;SAO CAETANO DO SUL;R$ 690.000,00;3 dormitórios - 2 vagas - 140,00 m² de área construída - 70,00 m² de terreno;Ref.: 62125;SOBRADO;3 dormitórios - 2 vagas - 140,00 m² de área construída - 70,00 m² de terreno;140;70;2;3;
CERAMICA;SAO CAETANO DO SUL;R$ 900.000,00;3 dormitórios - 1 suíte - 6 vagas - 244,00 m² de área construída - 217,00 m² de terreno;Ref.: 61264;SOBRADO;3 dormitórios - 1 suíte - 6 vagas - 244,00 m² de área construída - 217,00 m² de terreno;244;217;6;3;1
BARCELONA;SAO CAETANO DO SUL;R$ 580.000,00;3 dormitórios - 1 suíte - 2 vagas - 158,00 m² de área construída - 179,65 m² de terreno;Ref.: 62372;SOBRADO;3 dormitórios - 1 suíte - 2 vagas - 158,00 m² de área construída - 179,65 m² de terreno;158;179,65;2;3;1
SANTA MARIA;SAO CAETANO DO SUL;R$ 600.000,00;2 dormitórios - 3 vagas - 150,00 m² de área construída - 250,00 m² de terreno;Ref.: 62312;CASA TERREA;2 dormitórios - 3 vagas - 150,00 m² de área construída - 250,00 m² de terreno;150;250;3;2;
BARCELONA;SAO CAETANO DO SUL;R$ 1.950.000,00;2 dormitórios - 2 vagas - 200,00 m² de área construída - 780,00 m² de terreno;Ref.: 61549;CASA;2 dormitórios - 2 vagas - 200,00 m² de área construída - 780,00 m² de terreno;200;780;2;2;
BARCELONA;SAO CAETANO DO SUL;R$ 850.000,00;3 dormitórios - 1 suíte - 2 vagas - 305,00 m² de área construída - 159,25 m² de terreno;Ref.: 61415;SOBRADO;3 dormitórios - 1 suíte - 2 vagas - 305,00 m² de área construída - 159,25 m² de terreno;305;159,25;2;3;1
BARCELONA;SAO CAETANO DO SUL;R$ 550.000,00;2 dormitórios - 6 vagas - 120,00 m² de área construída - 255,00 m² de terreno;Ref.: 62316;CASA TERREA;2 dormitórios - 6 vagas - 120,00 m² de área construída - 255,00 m² de terreno;120;255;6;2;
